,Features,Importance
0,TotalCharges,0.01772477319099163
1,MonthlyCharges,0.01797742087128339
2,tenure,0.012106352786583048
3,TechSupport_No,0.014220993533375262
4,OnlineSecurity_No,0.011770168511053287
5,Contract_Month-to-month,0.014256667122711
6,PaymentMethod_Electronic check,0.004184355878118599
7,InternetService_Fiber optic,0.004926467025972834
8,OnlineBackup_No,0.01739736329819474
9,DeviceProtection_No,0.0026478113375657435
10,TechSupport_Yes,0.012153911134528331
11,PaperlessBilling_No,0.01350939999680896
12,gender_Male,0.029068076504283454
13,gender_Female,0.0012232406757054896
14,MultipleLines_No,0.04005271336425361
15,PaperlessBilling_Yes,0.006913565272630035
16,StreamingTV_No,0.011824898821093536
17,Dependents_Yes,0.02311135596500087
18,Partner_Yes,0.00016241024293616103
19,StreamingMovies_No,0.013259227332158108
20,SeniorCitizen_0.0,0.02229780143811259
21,PaymentMethod_Bank transfer (automatic),0.001420321860750472
22,SeniorCitizen_1.0,0.009278933712015953
23,InternetService_DSL,0.04061694901882091
24,OnlineBackup_Yes,0.0009075737331062971
25,Contract_One year,0.02068695220981869
26,MultipleLines_Yes,0.014895800123850233
27,Partner_No,6.834983244784509e-06
28,OnlineSecurity_Yes,0.01182032005465435
29,StreamingTV_Yes,0.013896462801532058
30,Dependents_No,0.0008583627910229036
31,PaymentMethod_Credit card (automatic),0.010006671420117422
32,PaymentMethod_Mailed check,0.0387829577580234
33,StreamingMovies_Yes,0.012881358893460315
34,DeviceProtection_Yes,0.009054967572058158
35,Contract_Two year,0.018269919496542043
36,OnlineSecurity_No internet service,0.01500577348756755
37,PhoneService_Yes,0.013733321112428042
38,PhoneService_No,0.010412085511718475
39,MultipleLines_No phone service,0.03635862132413583
40,DeviceProtection_No internet service,0.010220721549557698
41,InternetService_No,0.013884170923326139
42,TechSupport_No internet service,0.013624932087997126
43,StreamingMovies_No internet service,0.11306980091116378
44,OnlineBackup_No internet service,0.1201397221971188
45,StreamingTV_No internet service,0.15937749016260794
