1,farm_number,latitude,longitude
2,1,-1.50944,37.565361
2,2,-1.549573,37.552001
4,3,-1.514019,37.5764
5,4,-1.514128,37.574717
6,5,-1.509701,37.583164
7,6,-1.545422,37.568533
8,7,-1.550883,37.567908
9,8,-1.55681,37.563683
10,9,-1.558799,37.558752
11,10,-1.555349,37.564326
13,11,-1.55799,37.55915
14,12,-1.556989,37.55982
15,13,-1.557109,37.561638
16,14,-1.550878,37.555089
17,15,-1.549573,37.552001
18,16,-1.545154,37.557597
19,17,-1.543242,37.558572
20,18,-1.533583,37.562512
21,19,-1.531774,37.562511
22,20,-1.520698,37.576862
22,21,-1.519132,37.578588
23,22,-1.524169,37.573584
24,23,-1.531389,37.576779
25,24,-1.532881,37.576556
26,25,-1.532379,37.576032
27,26,-1.525838,37.587542
28,27,-1.52727,37.587242
29,28,-1.524315,37.584509
30,29,-1.520783,37.58066
30,30,-1.518814,37.581648
31,31,-1.51816,37.583811
32,32,-1.519252,37.585421
33,33,-1.518592,37.586541
34,34,-1.517772,37.585336
35,35,-1.533165,37.577466
36,36,-1.521497,37.582262
38,37,-1.521001,37.583994
39,38,-1.522649,37.586318
40,39,-1.521238,37.585484
41,40,-1.523897,37.587995
41,41,-1.522651,37.586315
42,42,-1.522321,37.585345
43,43,-1.257723,36.784977
44,44,-1.556855,37.56427
47,45,-1.245137,36.872524
48,46,-1.274541,36.840595
49,47,-1.270766,36.883167
50,48,-1.265731,36.873554
51,49,-1.267104,36.908573
52,50,-1.281292,36.859135
53,51,-1.561287,37.070069
54,52,-1.271681,36.910976
